,CATEGORY_1,CATEGORY_2,CATEGORY_3,CATEGORY_4,MANUFACTURER,BRAND,BARCODE
65834,Health & Wellness,,,,COTY,VERA WANG FRAGRANCE & BODY CARE,UNKNOWN_65834
66775,Snacks,Chips,Crisps,,1440 FOODS COMPANY,PURE PROTEIN,UNKNOWN_66775
67125,Health & Wellness,Skin Care,Skin Toners & Astringents,,"E.L.F. COSMETICS, INC",E.L.F.,UNKNOWN_67125
67245,Snacks,Fruit & Vegetable Snacks,,,GOYA FOODS,GOYA,UNKNOWN_67245
67469,Health & Wellness,Bath & Body,Hand & Body Lotions,,UNILEVER,LOVE BEAUTY AND PLANET,UNKNOWN_67469
67486,Snacks,,,,FERRARA CANDY COMPANY,GOBSTOPPER,UNKNOWN_67486
67870,Snacks,,,,GOYA FOODS,GOYA,UNKNOWN_67870
68143,Snacks,,,,THE HERSHEY COMPANY,HEATH,UNKNOWN_68143
68242,Snacks,Pudding & Gelatin,Ready-to-Eat Pudding,,KRAFTHEINZ,JELL-O,UNKNOWN_68242
68346,Snacks,,,,CAMPBELL SOUP COMPANY,POP SECRET,UNKNOWN_68346
68798,Snacks,Candy,,,THE HERSHEY COMPANY,BROOKSIDE,UNKNOWN_68798
69266,Health & Wellness,,,,CHURCH & DWIGHT,FINISHING TOUCH FLAWLESS,UNKNOWN_69266
69359,Health & Wellness,Hair Removal,Hair Removal Accessories,,COTY,SALLY HANSEN,UNKNOWN_69359
69395,Health & Wellness,Hair Care,Conditioner,,PROCTER & GAMBLE,HERBAL ESSENCES,UNKNOWN_69395
69407,Health & Wellness,,,,"SC JOHNSON & SON, INC",MRS MEYERS,UNKNOWN_69407
70207,Health & Wellness,Hair Removal,After Shave,,UNILEVER,DOLLAR SHAVE CLUB,UNKNOWN_70207
70557,Health & Wellness,,,,COTY,BOURJOIS,UNKNOWN_70557
70765,Snacks,Chips,Pork Skins,,GENERAL MILLS,EPIC,UNKNOWN_70765
70910,Health & Wellness,Medicines & Treatments,,,ABBOTT,PROMOTE,UNKNOWN_70910
71215,Health & Wellness,Hair Care,Hair Styling Products,,KAO USA,GOLDWELL,UNKNOWN_71215
71246,Health & Wellness,Hair Care,Hair Treatments,,PROCTER & GAMBLE,NATIVE,UNKNOWN_71246
71358,Snacks,Snack Cakes,Cakes & Truffles Snack Cakes,,,,UNKNOWN_71358
71486,Health & Wellness,Bath & Body,,,COTY,"GUCCI FRAGRANCE, BEAUTY, & BODY CARE",UNKNOWN_71486
71605,Health & Wellness,Deodorant & Antiperspirant,Women's Deodorant & Antiperspirant,,"SC JOHNSON & SON, INC",METHOD,UNKNOWN_71605
71816,Health & Wellness,Medicines & Treatments,Vitamins & Herbal Supplements,,NESTLE,GERBER BABY FOOD,UNKNOWN_71816
72001,Snacks,Candy,,,FERRARA CANDY COMPANY,NOW AND LATER,UNKNOWN_72001
72191,Snacks,,,,GENERAL MILLS,BUGLES,UNKNOWN_72191
72305,Snacks,Puffed Snacks,Cheese Curls & Puffs,,PEPSICO,MINIS,UNKNOWN_72305
72306,Snacks,Snack Bars,,,FLOWERS FOODS,DAVE’S KILLER BREAD,UNKNOWN_72306
72543,Health & Wellness,,,,HALEON,SENSODYNE,UNKNOWN_72543
72839,Health & Wellness,,,,COTY,JIL SANDER FRAGRANCE & BODY CARE,UNKNOWN_72839
73518,Health & Wellness,Medicines & Treatments,,,MONDELĒZ INTERNATIONAL,HALLS,UNKNOWN_73518
74753,Health & Wellness,Bath & Body,Bath & Body Gift Sets,,COTY,CHLOÉ FRAGRANCE & BODY CARE,UNKNOWN_74753
74789,Snacks,,,,THE HERSHEY COMPANY,DOT'S HOMESTYLE PRETZELS,UNKNOWN_74789
74977,Health & Wellness,Medicines & Treatments,Digestive Health Medicines & Treatments,Nausea & Motion Sickness Medicines & Treatments,,,UNKNOWN_74977
75165,Health & Wellness,Medicines & Treatments,Allergy & Sinus Medicines & Treatments,,CHURCH & DWIGHT,SIMPLY SALINE,UNKNOWN_75165
75198,Health & Wellness,Skin Care,,,KAO USA,JERGENS,UNKNOWN_75198
75303,Health & Wellness,Menstrual Care,Menstrual Care Liners,,PROCTER & GAMBLE,THIS IS L.,UNKNOWN_75303
75443,Health & Wellness,Skin Care,Sunscreen,,KAO USA,BIORE,UNKNOWN_75443
75911,Health & Wellness,,,,JOHNSON & JOHNSON,LE PETIT MARSEILLAIS,UNKNOWN_75911
76614,Snacks,Snack Bars,Fruit & Nut Bars,,GENERAL MILLS,RATIO,UNKNOWN_76614
76701,Snacks,Crackers,Animal Crackers,,MONDELĒZ INTERNATIONAL,BARNUM'S,UNKNOWN_76701
77061,Health & Wellness,Deodorant & Antiperspirant,,,COTY,NAUTICA FRAGRANCE & BODY CARE,UNKNOWN_77061
77148,Health & Wellness,Skin Care,Facial Cleansers,,JOHNSON & JOHNSON,AVEENO,UNKNOWN_77148
77170,Apparel & Accessories,Clothing,Shirts & Tops,,PEPSICO,CHEETOS,UNKNOWN_77170
77354,Health & Wellness,,,,HENKEL,AUTHENTIC BEAUTY CONCEPT,UNKNOWN_77354
77889,Health & Wellness,Hair Removal,,,COTY,JOVAN FRAGRANCE & BODY CARE,UNKNOWN_77889
