,CATEGORY_1,CATEGORY_2,CATEGORY_3,CATEGORY_4,MANUFACTURER,BRAND,BARCODE
391395,Snacks,Candy,,,FERRARA CANDY COMPANY,JUJYFRUITS,UNKNOWN_391395
391510,Snacks,Snack Bars,Granola Bars,,GENERAL MILLS,CASCADIAN FARM,UNKNOWN_391510
391783,Health & Wellness,Hair Removal,Shaving Gel & Cream,Women's Shaving Gel & Cream,BIC USA INC,BIC,UNKNOWN_391783
391968,Snacks,,,,MONDELĒZ INTERNATIONAL,BETTER CHEDDARS,UNKNOWN_391968
392349,Snacks,Crackers,,,GENERAL MILLS,GARDETTOS,UNKNOWN_392349
392666,Snacks,,,,GENERAL MILLS,GOODBELLY PROBIOTICS,UNKNOWN_392666
392810,Health & Wellness,,,,HALEON,ADVIL,UNKNOWN_392810
392819,Health & Wellness,Medicines & Treatments,Vitamins & Herbal Supplements,,SEATTLE GUMMY COMPANY,IMMUNITY SHOTS,UNKNOWN_392819
392848,Snacks,Dessert Toppings,,,NESTLE,ABUELITA,UNKNOWN_392848
393065,Alcohol,Wine,Red Wine,Other Red Wines,GALLO,BAREFOOT,UNKNOWN_393065
394240,Health & Wellness,Skin Care,Facial Cleansers,,PROCTER & GAMBLE,DERMAGEEK,UNKNOWN_394240
394911,Health & Wellness,,,,PROCTER & GAMBLE,IVORY,UNKNOWN_394911
395025,Snacks,Dips & Salsa,Salsa,,,,UNKNOWN_395025
395090,Health & Wellness,,,,RECKITT BENCKISER,NEURIVA,UNKNOWN_395090
395239,Snacks,Chips,,,,,UNKNOWN_395239
395424,Health & Wellness,Oral Care,,,CHURCH & DWIGHT,ARM & HAMMER,UNKNOWN_395424
395445,Snacks,,,,MONDELĒZ INTERNATIONAL,MILKA,UNKNOWN_395445
395891,Snacks,Puffed Snacks,,,PEPSICO,FUNYUNS,UNKNOWN_395891
396259,Health & Wellness,Bath & Body,,,ELIDA BEAUTY,CARESS,UNKNOWN_396259
396261,Snacks,,,,PEPSICO,NUT HARVEST,UNKNOWN_396261
396362,Health & Wellness,Medicines & Treatments,Allergy & Sinus Medicines & Treatments,,JOHNSON & JOHNSON,TYLENOL,UNKNOWN_396362
396523,Health & Wellness,Oral Care,,,PROCTER & GAMBLE,ORAL-B,UNKNOWN_396523
396595,Health & Wellness,Bath & Body,,,UNILEVER,BELOVED,UNKNOWN_396595
396604,Snacks,Snack Bars,Cereal Bars & Breakfast Biscuits,,GENERAL MILLS,LUCKY CHARMS,UNKNOWN_396604
396650,Snacks,Candy,,,HORMEL FOODS,JUSTIN'S,UNKNOWN_396650
397314,Health & Wellness,Medicines & Treatments,,,UNILEVER,OLLY,UNKNOWN_397314
397711,Health & Wellness,Hair Care,Conditioner,,HENKEL,PRAVANA,UNKNOWN_397711
397908,Health & Wellness,Hair Care,Conditioner,,PROCTER & GAMBLE,HAIR FOOD,UNKNOWN_397908
398172,Snacks,Chips,Tortilla Chips,,GOYA FOODS,GOYA,UNKNOWN_398172
398443,Snacks,,,,PEPSICO,MUNCHIES,UNKNOWN_398443
398478,Health & Wellness,Skin Care,Facial Lotion & Moisturizer,,THE CLOROX COMPANY,BURT'S BEES BEAUTY,UNKNOWN_398478
398524,Snacks,Chips,Crisps,,KELLANOVA,CLUB,UNKNOWN_398524
398556,Health & Wellness,First Aid,,,,,UNKNOWN_398556
398778,Snacks,,,,MONDELĒZ INTERNATIONAL,PERFECT BAR,UNKNOWN_398778
399803,Health & Wellness,Hair Care,Shampoo,,SUAVE BRANDS COMPANY LLC,SUAVE,UNKNOWN_399803
399885,Snacks,Pudding & Gelatin,Ready-to-Eat Gelatin,,CONAGRA,SNACK PACK,UNKNOWN_399885
400183,Health & Wellness,,,,ANCIENT NUTRITION,ANCIENT NUTRITION,UNKNOWN_400183
400331,Snacks,Candy,,,MARS WRIGLEY,DOVE CHOCOLATE,UNKNOWN_400331
400610,Health & Wellness,,,,HENKEL,GÖT2B,UNKNOWN_400610
400875,Health & Wellness,Oral Care,Breath Strips & Sprays,,SANOFI AVENTIS US LLC,ACT,UNKNOWN_400875
400931,Health & Wellness,Bath & Body,Bar Soap,,UNILEVER,SHEA MOISTURE,UNKNOWN_400931
400948,Health & Wellness,Skin Care,,,OFFSPRING BEAUTY CO.,VERSED,UNKNOWN_400948
400995,Health & Wellness,Bath & Body,,,COTY,DAVIDOFF FRAGRANCE & BODY CARE,UNKNOWN_400995
401645,Health & Wellness,First Aid,First Aid Kits,,,,UNKNOWN_401645
401670,Snacks,,,,CAMPBELL SOUP COMPANY,TOM'S,UNKNOWN_401670
401696,Health & Wellness,Skin Care,,,"BEIERSDORF, INC.",AQUAPHOR,UNKNOWN_401696
401843,Health & Wellness,,,,RECKITT BENCKISER,ENFAMIL,UNKNOWN_401843
401893,Snacks,Jerky & Dried Meat,Jerky & Bites,,,,UNKNOWN_401893
402093,Health & Wellness,Hair Care,Shampoo,,SANOFI AVENTIS US LLC,SELSUN BLUE,UNKNOWN_402093
402189,Snacks,,,,MONDELĒZ INTERNATIONAL,NUTTER BUTTER,UNKNOWN_402189
402198,Snacks,Snack Cakes,Pies & Tarts Snack Cakes,,BIMBO,MARINELA SWEET BAKED GOODS,UNKNOWN_402198
402725,Health & Wellness,Hair Care,Hair Styling Products,,KAO USA,JOHN FRIEDA,UNKNOWN_402725
403183,Health & Wellness,,,,COTY,DAVID BECKHAM FRAGRANCE & BODY CARE,UNKNOWN_403183
403480,Snacks,Chips,Tortilla Chips,,SIMPLY GOOD FOODS USA INC.,QUEST,UNKNOWN_403480
403705,Health & Wellness,Adult Incontinence,Adult Incontinence Underwear,,PROCTER & GAMBLE,ALWAYS DISCREET,UNKNOWN_403705
403744,Snacks,Crackers,Saltine Crackers,,MONDELĒZ INTERNATIONAL,CHICKEN IN A BISKIT,UNKNOWN_403744
403827,Snacks,Candy,Candy Variety Pack,,FERRERO GROUP,BUTTERFINGER,UNKNOWN_403827
404085,Snacks,,,,ARBOGAST FOODS LLC,ARBO'S,UNKNOWN_404085
404182,Snacks,,,,PEPSICO,TOSTITOS,UNKNOWN_404182
404232,Health & Wellness,Hair Care,Hair Care Accessories,,CHURCH & DWIGHT,VIVISCAL,UNKNOWN_404232
404671,Snacks,,,,PIM BRANDS,WELCH'S FRUIT SNACKS,UNKNOWN_404671
404782,Health & Wellness,Skin Care,Sunscreen,,JOHNSON & JOHNSON,AVEENO,UNKNOWN_404782
405009,Health & Wellness,Hair Removal,Razors,Women's Razors,PROCTER & GAMBLE,GILLETTE VENUS,UNKNOWN_405009
405074,Health & Wellness,Medicines & Treatments,Vitamins & Herbal Supplements,,RECKITT BENCKISER,MEGARED,UNKNOWN_405074
405121,Snacks,,,,PEPSICO,QUAKER,UNKNOWN_405121
405219,Health & Wellness,Skin Care,Skin Care Masks & Peels,,COTY,ORVEDA,UNKNOWN_405219
405288,Snacks,Puffed Snacks,,,TH FOODS,CRUNCHMASTER,UNKNOWN_405288
405416,Health & Wellness,Skin Care,Body Oil,,,,UNKNOWN_405416
405950,Snacks,,,,MONDELĒZ INTERNATIONAL,TRISCUIT,UNKNOWN_405950
406356,Health & Wellness,Medicines & Treatments,Pain & Fever Medicines & Treatments,,SANOFI AVENTIS US LLC,UNISOM,UNKNOWN_406356
406631,Snacks,,,,THE HERSHEY COMPANY,WHATCHAMACALLIT,UNKNOWN_406631
406644,Health & Wellness,Bath & Body,,,CHURCH & DWIGHT,TOPPIK,UNKNOWN_406644
406798,Snacks,Snack Bars,Cereal Bars & Breakfast Biscuits,,KELLANOVA,SPECIAL K BARS,UNKNOWN_406798
406841,Health & Wellness,Hair Care,Hair Styling Products,,PROCTER & GAMBLE,HERBAL ESSENCES,UNKNOWN_406841
406882,Snacks,,,,THE HERSHEY COMPANY,BARKTHINS,UNKNOWN_406882
407383,Snacks,Dips & Salsa,Dip Mixes,,FOODSTORY BRANDS,FRESH CRAVINGS,UNKNOWN_407383
407456,Health & Wellness,Topical Muscle & Joint Relief Treatments,,,SANOFI AVENTIS US LLC,ASPERCREME,UNKNOWN_407456
407582,Health & Wellness,Hair Removal,Shaving Gel & Cream,,UNILEVER,DOLLAR SHAVE CLUB,UNKNOWN_407582
407806,Health & Wellness,Hair Care,Hair Treatments,,,,UNKNOWN_407806
407879,Snacks,Crackers,Graham Crackers,,KELLANOVA,GRAHAMS,UNKNOWN_407879
407884,Snacks,,,,FERRARA CANDY COMPANY,RED HOTS,UNKNOWN_407884
408012,Snacks,Pudding & Gelatin,,,THE HERSHEY COMPANY,KIT KAT,UNKNOWN_408012
408054,Health & Wellness,Bath & Body,Hand & Body Lotions,,COTY,KYLIE SKIN,UNKNOWN_408054
408089,Snacks,Snack Cakes,Pies & Tarts Snack Cakes,,BIMBO,BIMBO SWEET BAKED GOODS,UNKNOWN_408089
408386,Snacks,,,,KRAFTHEINZ,COOL WHIP,UNKNOWN_408386
408492,Health & Wellness,Deodorant & Antiperspirant,,,COTY,HUGO BOSS FRAGRANCE & BODY CARE,UNKNOWN_408492
408620,Health & Wellness,Foot Care,Anti-Fungal Foot Care,,BAYER,TINACTIN®,UNKNOWN_408620
408743,Snacks,,,,GENERAL MILLS,MOTT'S FRUIT SNACKS,UNKNOWN_408743
408772,Health & Wellness,,,,UNILEVER,SUNSILK,UNKNOWN_408772
408839,Health & Wellness,Medicines & Treatments,Allergy & Sinus Medicines & Treatments,,JOHNSON & JOHNSON,ZYRTEC,UNKNOWN_408839
408855,Health & Wellness,Topical Muscle & Joint Relief Treatments,,,BAUSCH + LOMB CORPORATION,THERA°PEARL,UNKNOWN_408855
408985,Snacks,Dips & Salsa,,,THE CLOROX COMPANY,HIDDEN VALLEY RANCH,UNKNOWN_408985
409181,Snacks,Snack Cakes,,,,,UNKNOWN_409181
410334,Health & Wellness,Bath & Body,Body Wash,,"E.L.F. COSMETICS, INC",NATURIUM,UNKNOWN_410334
410580,Health & Wellness,Bath & Body,Bath Additives,,PDC BRANDS,DR TEAL'S,UNKNOWN_410580
411023,Snacks,Chips,Potato Chips,,PEPSICO,MAUI STYLE CHIPS,UNKNOWN_411023
411110,Health & Wellness,Skin Care,,,COTY,MAX FACTOR,UNKNOWN_411110
411432,Health & Wellness,Hair Care,,,UNILEVER,TRESEMMÉ,UNKNOWN_411432
411433,Health & Wellness,Medicines & Treatments,,,HALEON,EXCEDRIN,UNKNOWN_411433
411541,Health & Wellness,Hair Care,Hair Styling Products,,HENKEL,KENRA,UNKNOWN_411541
411542,Health & Wellness,Hair Removal,Waxing & Strips,,CHURCH & DWIGHT,NAIR,UNKNOWN_411542
412170,Snacks,Dips & Salsa,Dip Mixes,,PEPSICO,SABRITAS,UNKNOWN_412170
412295,Health & Wellness,Medicines & Treatments,Vitamins & Herbal Supplements,,ABBOTT,PIVOT,UNKNOWN_412295
412635,Health & Wellness,Bath & Body,Body Wash,,PROCTER & GAMBLE,OLD SPICE,UNKNOWN_412635
412850,Snacks,Candy,Confection Candy,,FERRARA CANDY COMPANY,LIK-M-AID FUN DIP,UNKNOWN_412850
412980,Health & Wellness,Foot Care,,,PDC BRANDS,DR TEAL'S,UNKNOWN_412980
413364,Health & Wellness,Medicines & Treatments,Vitamins & Herbal Supplements,,SANOFI AVENTIS US LLC,QUNOL,UNKNOWN_413364
413972,Health & Wellness,Eye Care,,,BAUSCH + LOMB CORPORATION,SENSITIVE EYES,UNKNOWN_413972
414064,Health & Wellness,Bath & Body,Hand Sanitizer Wipes,,"SC JOHNSON & SON, INC",BABYGANICS,UNKNOWN_414064
414121,Snacks,Nuts & Seeds,Almonds,,,,UNKNOWN_414121
414203,Snacks,Snack Bars,,,GENERAL MILLS,TRIX,UNKNOWN_414203
414252,Health & Wellness,Skin Care,Anti-Aging Skin Care Kits,,JOHNSON & JOHNSON,NEUTROGENA,UNKNOWN_414252
414316,Snacks,Pretzels,Covered Pretzels,,THE HERSHEY COMPANY,REESE'S,UNKNOWN_414316
414478,Health & Wellness,Bath & Body,,,PROCTER & GAMBLE,NATIVE,UNKNOWN_414478
414902,Health & Wellness,,,,UNILEVER,THE GOOD STUFF,UNKNOWN_414902
414986,Health & Wellness,Hair Care,Shampoo,,JOHNSON & JOHNSON,MAUI MOISTURE,UNKNOWN_414986
415209,Health & Wellness,,,,"SC JOHNSON & SON, INC",CALDREA,UNKNOWN_415209
415215,Health & Wellness,Hair Care,Hair Color,,HENKEL,JOICO,UNKNOWN_415215
415472,Health & Wellness,Topical Muscle & Joint Relief Treatments,,,,,UNKNOWN_415472
415793,Health & Wellness,Menstrual Care,Menstrual Care Treatments & Cleansers,,CHURCH & DWIGHT,REPHRESH,UNKNOWN_415793
416068,Health & Wellness,Hair Care,Hair Styling Products,,PROCTER & GAMBLE,MY BLACK IS BEAUTIFUL,UNKNOWN_416068
416202,Snacks,Trail Mix,,,PEPSICO,NUT HARVEST,UNKNOWN_416202
416208,Snacks,,,,FERRERO GROUP,BUTTERFINGER,UNKNOWN_416208
416279,Snacks,Chips,,,GENERAL MILLS,PILLSBURY,UNKNOWN_416279
417007,Alcohol,Wine,Red Wine,Syrah/Shiraz,GALLO,BAREFOOT,UNKNOWN_417007
417180,Health & Wellness,,,,ELIDA BEAUTY,NOXZEMA,UNKNOWN_417180
417904,Snacks,Pretzels,Flavored Pretzels,,,,UNKNOWN_417904
417905,Snacks,Candy,Confection Candy,,THE HERSHEY COMPANY,GOOD & PLENTY,UNKNOWN_417905
418125,Health & Wellness,Oral Care,Mouthwash,,,,UNKNOWN_418125
418436,Health & Wellness,Medicines & Treatments,,,RECKITT BENCKISER,NEURIVA,UNKNOWN_418436
418462,Health & Wellness,Hair Care,Conditioner,,CHURCH & DWIGHT,VIVISCAL,UNKNOWN_418462
419027,Snacks,Dessert Toppings,Canned & Whipped Cream,,CONAGRA,REDDI-WIP,UNKNOWN_419027
419299,Health & Wellness,Hair Removal,,,COTY,NAUTICA FRAGRANCE & BODY CARE,UNKNOWN_419299
419424,Health & Wellness,Medicines & Treatments,,,RECKITT BENCKISER,DELSYM,UNKNOWN_419424
419513,Health & Wellness,Skin Care,Skin Care Masks & Peels,,COTY,PHILOSOPHY FRAGRANCE & BODY CARE,UNKNOWN_419513
419736,Snacks,Candy,,,MARS WRIGLEY,ECLIPSE,UNKNOWN_419736
420284,Snacks,Candy,Chocolate Candy,,FERRERO GROUP,SNOCAPS,UNKNOWN_420284
420339,Snacks,Nuts & Seeds,,,NESTLE,NATURES HEART,UNKNOWN_420339
420366,Snacks,Candy,Chocolate Candy,,MONDELĒZ INTERNATIONAL,ENJOY LIFE FOODS,UNKNOWN_420366
420416,Snacks,,,,4505 MEATS,4505 MEATS,UNKNOWN_420416
420565,Snacks,Candy,,,MONDELĒZ INTERNATIONAL,PERFECT SNACKS,UNKNOWN_420565
420647,Health & Wellness,Skin Care,Eye Creams,,"E.L.F. COSMETICS, INC",NATURIUM,UNKNOWN_420647
420713,Health & Wellness,Skin Care,Facial Lotion & Moisturizer,,CHURCH & DWIGHT,HERO COSMETICS,UNKNOWN_420713
420736,Health & Wellness,Bath & Body,Body Wash,,COTY,DAVID BECKHAM FRAGRANCE & BODY CARE,UNKNOWN_420736
420889,Snacks,Nuts & Seeds,Snack Seeds,,FLOWERS FOODS,DAVE’S KILLER BREAD,UNKNOWN_420889
421111,Health & Wellness,Bath & Body,,,COTY,BOURJOIS,UNKNOWN_421111
421505,Health & Wellness,Bath & Body,,,GROVE COLLABORATIVE,GROVE CO.,UNKNOWN_421505
421667,Snacks,,,,MONDELĒZ INTERNATIONAL,RITZ,UNKNOWN_421667
422229,Health & Wellness,Deodorant & Antiperspirant,Men's Deodorant & Antiperspirant,,PROCTER & GAMBLE,OLD SPICE,UNKNOWN_422229
422581,Health & Wellness,Hair Care,Hair Care Accessories,,HENKEL,BETTER NATURED,UNKNOWN_422581
422645,Health & Wellness,Medicines & Treatments,Essential Oils,,KAO USA,JERGENS,UNKNOWN_422645
422880,Health & Wellness,Skin Care,,,BAYER,A+D TATTOO,UNKNOWN_422880
422926,Snacks,Snack Bars,Performance & Protein Bars,,BLAKE'S SEED BASED,BLAKE'S SEED BASED,UNKNOWN_422926
423119,Health & Wellness,Skin Care,Eye Creams,,JOHNSON & JOHNSON,NEUTROGENA,UNKNOWN_423119
423278,Snacks,Candy,Gum,,KRAFTHEINZ,KOOL-AID,UNKNOWN_423278
423676,Snacks,,,,GENERAL MILLS,COCOA PUFFS,UNKNOWN_423676
423884,Health & Wellness,First Aid,Ointments & Liquids,,JOHNSON & JOHNSON,BAND-AID,UNKNOWN_423884
423930,Health & Wellness,Bath & Body,Liquid Hand Soap,,UNILEVER,BABY DOVE,UNKNOWN_423930
423986,Health & Wellness,Bath & Body,,,GEORGIA-PACIFIC,ANGEL SOFT,UNKNOWN_423986
424073,Snacks,,,,THE HERSHEY COMPANY,MR. GOODBAR,UNKNOWN_424073
424078,Health & Wellness,Bath & Body,Hand Sanitizer,,HENKEL,DIAL,UNKNOWN_424078
424633,Snacks,Candy,,,SPANGLER CANDY COMPANY,DUM DUMS,UNKNOWN_424633
425047,Health & Wellness,,,,L'OREAL,NYX PROFESSIONAL MAKEUP,UNKNOWN_425047
425129,Health & Wellness,,,,RECKITT BENCKISER,BODI-OME,UNKNOWN_425129
425382,Alcohol,Wine,White Wine,Riesling,GALLO,BAREFOOT,UNKNOWN_425382
425438,Health & Wellness,Bath & Body,,,PROCTER & GAMBLE,FIRST AID BEAUTY,UNKNOWN_425438
425534,Health & Wellness,Skin Care,Facial Cleansers,,WELLBEAM CONSUMER HEALTH,TRUSKIN,UNKNOWN_425534
425801,Health & Wellness,Bath & Body,Hand & Body Lotions,,ELIDA BEAUTY,ST. IVES,UNKNOWN_425801
425958,Snacks,Chips,Crisps,,PEPSICO,QUAKER,UNKNOWN_425958
426248,Health & Wellness,Hair Care,Hair Treatments,,UNILEVER,APOTHECARE ESSENTIALS,UNKNOWN_426248
426655,Health & Wellness,,,,HALEON,CITRUCEL,UNKNOWN_426655
426883,Health & Wellness,Bath & Body,,,COTY,KYLIE SKIN,UNKNOWN_426883
427124,Health & Wellness,Eye Care,Prescription Lenses,,BAUSCH + LOMB CORPORATION,BIOTRUE,UNKNOWN_427124
427794,Snacks,,,,GENERAL MILLS,GOLDEN GRAHAMS,UNKNOWN_427794
427867,Snacks,Candy,,,FERRARA CANDY COMPANY,SWEETARTS,UNKNOWN_427867
427942,Pantry,"Cereal, Granola, & Toaster Pastries",Breakfast Cereal,,GENERAL MILLS,CHEERIOS,UNKNOWN_427942
428035,Snacks,Dips & Salsa,Dip Mixes,,,,UNKNOWN_428035
428229,Snacks,Energy & Endurance,Chews & Gels,,,,UNKNOWN_428229
428288,Health & Wellness,Hair Care,Shampoo,,CHURCH & DWIGHT,VIVISCAL,UNKNOWN_428288
428405,Snacks,Pretzels,Covered Pretzels,,CAMPBELL SOUP COMPANY,SNYDERS OF HANOVER,UNKNOWN_428405
428742,Snacks,Snack Cakes,Pies & Tarts Snack Cakes,,FLOWERS FOODS,TASTYKAKE,UNKNOWN_428742
429060,Snacks,Cookies,,,WHY BRANDS INC.,MUNCHKIN,UNKNOWN_429060
429564,Snacks,Puffed Snacks,Popcorn,Already Popped Popcorn,THE HERSHEY COMPANY,REESE'S,UNKNOWN_429564
429584,Health & Wellness,Bath & Body,Bath & Body Gift Sets,,,,UNKNOWN_429584
429630,Snacks,Dessert Toppings,,,FERRERO GROUP,KEEBLER SWEET TREATS,UNKNOWN_429630
430195,Health & Wellness,Sexual Health,Conductivity Gels & Lotions,,RECKITT BENCKISER,K-Y,UNKNOWN_430195
430196,Health & Wellness,Hair Care,Hair Tools,Hair Brushes & Combs,KAO USA,ORIBE,UNKNOWN_430196
430232,Health & Wellness,Hair Removal,,,UNILEVER,DOLLAR SHAVE CLUB,UNKNOWN_430232
430432,Health & Wellness,Oral Care,Oral Pain Relief,,CHURCH & DWIGHT,ORAJEL,UNKNOWN_430432
430572,Snacks,Candy,Confection Candy,,,,UNKNOWN_430572
431072,Health & Wellness,Hair Care,Conditioner,,HENKEL,BETTER NATURED,UNKNOWN_431072
431402,Health & Wellness,Hair Removal,,,COTY,ESCADA FRAGRANCE & BODY CARE,UNKNOWN_431402
431876,Snacks,Snack Bars,Meal Replacement Bars,,KELLANOVA,SPECIAL K BARS,UNKNOWN_431876
432073,Health & Wellness,Medicines & Treatments,Vitamins & Herbal Supplements,,BAYER,ONE A DAY®,UNKNOWN_432073
432284,Snacks,Snack Bars,Meal Replacement Bars,,GENERAL MILLS,EPIC,UNKNOWN_432284
433131,Health & Wellness,,,,OFFSPRING BEAUTY CO.,VERSED,UNKNOWN_433131
433197,Snacks,Dips & Salsa,Cheese Dip,,KRAFTHEINZ,ATHENOS,UNKNOWN_433197
433484,Snacks,Candy,Chocolate Candy,,FERRERO GROUP,CRUNCH,UNKNOWN_433484
433495,Snacks,,,,FERRERO GROUP,OH HENRY,UNKNOWN_433495
433718,Snacks,Trail Mix,,,HORMEL FOODS,PLANTERS,UNKNOWN_433718
433831,Health & Wellness,,,,HALEON,BIOTENE,UNKNOWN_433831
434115,Snacks,Chips,,,FERRERO GROUP,KEEBLER SWEET TREATS,UNKNOWN_434115
434578,Health & Wellness,Medicines & Treatments,Cough & Cold Medicines & Treatments,,BAYER,ALKA-SELTZER®,UNKNOWN_434578
434898,Snacks,Nuts & Seeds,Snack Seeds,,CONAGRA,DAVID SEEDS,UNKNOWN_434898
434967,Health & Wellness,Hair Care,Hair Treatments,,JOHNSON & JOHNSON,AVEENO,UNKNOWN_434967
435329,Snacks,Chips,,,PEPSICO,OFF THE EATEN PATH,UNKNOWN_435329
435880,Health & Wellness,Medicines & Treatments,Allergy & Sinus Medicines & Treatments,,SANOFI AVENTIS US LLC,XYZAL,UNKNOWN_435880
436001,Health & Wellness,,,,CHURCH & DWIGHT,CLOSE-UP,UNKNOWN_436001
436533,Health & Wellness,Medicines & Treatments,Sleeping & Snoring,Snoring Aids,,,UNKNOWN_436533
436676,Health & Wellness,Skin Care,Skin Toners & Astringents,,COTY,SKKN,UNKNOWN_436676
437197,Health & Wellness,,,,HALEON,PANADOL,UNKNOWN_437197
437257,Alcohol,Wine,Red Wine,Cabernet Sauvignon,GALLO,BAREFOOT,UNKNOWN_437257
437258,Health & Wellness,Medicines & Treatments,,,ABBOTT,PULMOCARE,UNKNOWN_437258
437280,Snacks,Snack Bars,Performance & Protein Bars,,IQ BAR,IQ BAR,UNKNOWN_437280
437333,Snacks,Energy & Endurance,,,,,UNKNOWN_437333
437422,Health & Wellness,Skin Care,Eye Creams,,COTY,PHILOSOPHY FRAGRANCE & BODY CARE,UNKNOWN_437422
438233,Health & Wellness,Hair Care,Shampoo & Conditioner Co-Pack,,KAO USA,MYKIREI BY KAO,UNKNOWN_438233
438623,Health & Wellness,Medicines & Treatments,Vitamins & Herbal Supplements,,CHURCH & DWIGHT,REPHRESH,UNKNOWN_438623
439158,Snacks,,,,GENERAL MILLS,PILLSBURY,UNKNOWN_439158
439644,Health & Wellness,,,,BAUSCH + LOMB CORPORATION,BAUSCH + LOMB,UNKNOWN_439644
439857,Health & Wellness,Hair Care,Hair Care Accessories,,L'OREAL,GARNIER HAIR COLOR,UNKNOWN_439857
440492,Health & Wellness,Bath & Body,Liquid Hand Soap,,GROVE COLLABORATIVE,GROVE CO.,UNKNOWN_440492
440608,Snacks,Crackers,Butter Crackers,,PEPSICO,GAMESA,UNKNOWN_440608
440722,Health & Wellness,Hair Care,,,HENKEL,SEXYHAIR,UNKNOWN_440722
441191,Health & Wellness,Oral Care,Floss,,,,UNKNOWN_441191
441560,Snacks,Chips,,,CAMPBELL SOUP COMPANY,CAPE COD,UNKNOWN_441560
441561,Snacks,Candy,,,THE HERSHEY COMPANY,BARKTHINS,UNKNOWN_441561
441721,Snacks,Pretzels,Pretzel Crisps,,CAMPBELL SOUP COMPANY,SNACK FACTORY,UNKNOWN_441721
441784,Snacks,Candy,Chocolate Candy,,THE HERSHEY COMPANY,YORK,UNKNOWN_441784
441932,Snacks,,,,THE HERSHEY COMPANY,ZAGNUT,UNKNOWN_441932
442165,Snacks,,,,PERFECT KETO,PERFECT KETO,UNKNOWN_442165
442476,Health & Wellness,,,,DANONE,NUTRICIA,UNKNOWN_442476
442597,Snacks,Puffed Snacks,Cheese Curls & Puffs,,THE HERSHEY COMPANY,SKINNYPOP,UNKNOWN_442597
442620,Health & Wellness,,,,PROCTER & GAMBLE,CLEARBLUE,UNKNOWN_442620
442991,Snacks,Pretzels,,,PEPSICO,FRITOS,UNKNOWN_442991
443285,Snacks,Candy,,,THE HERSHEY COMPANY,SYMPHONY,UNKNOWN_443285
443311,Health & Wellness,Hair Removal,Hair Removal Cream,,CHURCH & DWIGHT,NAIR,UNKNOWN_443311
443313,Health & Wellness,Deodorant & Antiperspirant,,,COTY,"MISS SPORTY FRAGRANCE, BEAUTY, & BODY CARE",UNKNOWN_443313
443571,Health & Wellness,Eye Care,Eye Drops,,JOHNSON & JOHNSON,VISINE,UNKNOWN_443571
443626,Health & Wellness,,,,UNILEVER,BABY DOVE,UNKNOWN_443626
443980,Health & Wellness,Bath & Body,Hand & Body Lotions,,"E.L.F. COSMETICS, INC",NATURIUM,UNKNOWN_443980
444002,Snacks,Crackers,,,MONDELĒZ INTERNATIONAL,BARNUM'S,UNKNOWN_444002
444330,Health & Wellness,Medicines & Treatments,,,GENERAL MILLS,NATURE VALLEY,UNKNOWN_444330
444627,Health & Wellness,Skin Care,Lip Balms & Treatments,,HALEON,ABREVA,UNKNOWN_444627
444650,Health & Wellness,Foot Care,Anti-Fungal Foot Care,,,,UNKNOWN_444650
444785,Health & Wellness,Medicines & Treatments,Sleeping & Snoring,,JOHNSON & JOHNSON,TYLENOL,UNKNOWN_444785
444975,Snacks,Candy,Chocolate Candy,,MARS WRIGLEY,TWIX,UNKNOWN_444975
445077,Health & Wellness,Medicines & Treatments,Vitamins & Herbal Supplements,,ABBOTT,TWOCAL HN,UNKNOWN_445077
445391,Alcohol,Wine,Red Wine,Malbec,GALLO,BAREFOOT,UNKNOWN_445391
446016,Snacks,Snack Bars,,,MONDELĒZ INTERNATIONAL,CLIF BAR,UNKNOWN_446016
446314,Health & Wellness,,,,HALEON,THERAFLU,UNKNOWN_446314
446898,Health & Wellness,Skin Care,Facial Cleansers,,UNILEVER,LOVE BEAUTY AND PLANET,UNKNOWN_446898
446990,Health & Wellness,Skin Care,,,CHURCH & DWIGHT,HERO COSMETICS,UNKNOWN_446990
447286,Health & Wellness,Hair Removal,,,UNILEVER,DOVE MEN+CARE,UNKNOWN_447286
447403,Health & Wellness,,,,PROCTER & GAMBLE,FIXODENT,UNKNOWN_447403
447416,Health & Wellness,Hair Care,,,HENKEL,OSIS+,UNKNOWN_447416
447584,Health & Wellness,Bath & Body,Hand & Body Lotions,,COTY,"GUCCI FRAGRANCE, BEAUTY, & BODY CARE",UNKNOWN_447584
447982,Health & Wellness,Skin Care,,,L'OREAL,LA ROCHE-POSAY,UNKNOWN_447982
447986,Health & Wellness,Hair Care,Conditioner,,HENKEL,BC BONACURE,UNKNOWN_447986
448021,Health & Wellness,Skin Care,,,"BEIERSDORF, INC.",NIVEA,UNKNOWN_448021
448052,Health & Wellness,Oral Care,,,CHURCH & DWIGHT,PEPSODENT,UNKNOWN_448052
448867,Health & Wellness,Medicines & Treatments,,,PROCTER & GAMBLE,VICKS,UNKNOWN_448867
448881,Health & Wellness,Hair Care,Shampoo & Conditioner Combinations,,JOHNSON & JOHNSON,AVEENO,UNKNOWN_448881
449071,Health & Wellness,Skin Care,Sunscreen,,L'OREAL,LA ROCHE-POSAY,UNKNOWN_449071
449390,Health & Wellness,Hair Care,Hair Tools,Hair Brushes & Combs,CONAIR LLC,CONAIR,UNKNOWN_449390
